indicator,age_modifier,sex_modifier,value,county
Gender Parity Index,primary,total,0.98,West Pokot
Gender Parity Index,secondary,total,0.9,West Pokot
Learner to teacher Ratio in Public Schools,preprimary_ece,total,67,West Pokot
Learner to teacher Ratio in Public Schools,primary,total,54,West Pokot
Learner to teacher Ratio in Public Schools,secondary,total,29,West Pokot
Learner-Classroom Ratio in Public Schools,preprimary_ece,total,61,West Pokot
Learner-Classroom Ratio in Public Schools,primary,total,38,West Pokot
Learner-Classroom Ratio in Public Schools,secondary,total,37,West Pokot
Percentage of students with no access to improved water source,NA,total,46,West Pokot
Number of schools with no water source,NA,total,401,West Pokot
Students' dropout/Absenteeism during 2022,preprimary_ece,female,14815,West Pokot
Students' dropout/Absenteeism during 2022,preprimary_ece,male,12465,West Pokot
Students' dropout/Absenteeism during 2022,preprimary_ece,total,27280,West Pokot
Students' dropout/Absenteeism during 2022,primary,female,16431,West Pokot
Students' dropout/Absenteeism during 2022,primary,male,15610,West Pokot
Students' dropout/Absenteeism during 2022,primary,total,32041,West Pokot
Students' dropout/Absenteeism during 2022,secondary,female,1423,West Pokot
Students' dropout/Absenteeism during 2022,secondary,male,2990,West Pokot
Students' dropout/Absenteeism during 2022,secondary,total,4413,West Pokot
Net Enrolment Rate (NER),preprimary_ece,female,147.5,West Pokot
Net Enrolment Rate (NER),preprimary_ece,male,143.2,West Pokot
Net Enrolment Rate (NER),preprimary_ece,total,145.3,West Pokot
Net Enrolment Rate (NER),primary,female,86.6,West Pokot
Net Enrolment Rate (NER),primary,male,86.1,West Pokot
Net Enrolment Rate (NER),primary,total,86.4,West Pokot
Net Enrolment Rate (NER),secondary,female,50.9,West Pokot
Net Enrolment Rate (NER),secondary,male,53.6,West Pokot
Net Enrolment Rate (NER),secondary,total,52.3,West Pokot
Primary-to-Secondary Transition Rate,secondary,female,80.1,West Pokot
Primary-to-Secondary Transition Rate,secondary,male,85.1,West Pokot
Primary-to-Secondary Transition Rate,secondary,total,82,West Pokot
Learner to Toilet Ratio in Public Schools ,preprimary_ece,female,54,West Pokot
Learner to Toilet Ratio in Public Schools ,preprimary_ece,male,58,West Pokot
Learner to Toilet Ratio in Public Schools ,preprimary_ece,total,56,West Pokot
Learner to Toilet Ratio in Public Schools ,primary,female,45,West Pokot
Learner to Toilet Ratio in Public Schools ,primary,male,50,West Pokot
Learner to Toilet Ratio in Public Schools ,primary,total,48,West Pokot
Learner to Toilet Ratio in Public Schools ,secondary,female,18,West Pokot
Learner to Toilet Ratio in Public Schools ,secondary,male,23,West Pokot
Learner to Toilet Ratio in Public Schools ,secondary,total,21,West Pokot
county_population,total,female,342979,West Pokot
county_population,total,male,333348,West Pokot
county_population,total,total,676326,West Pokot
school_age_children,total,female,132043,West Pokot
school_age_children,total,male,129652,West Pokot
school_age_children,total,total,261695,West Pokot
out_of_school_children,preprimary_ece,female,11290,West Pokot
out_of_school_children,preprimary_ece,male,12690,West Pokot
out_of_school_children,preprimary_ece,total,23980,West Pokot
out_of_school_children,primary,female,21330,West Pokot
out_of_school_children,primary,male,21440,West Pokot
out_of_school_children,primary,total,42770,West Pokot
out_of_school_children,secondary,female,5890,West Pokot
out_of_school_children,secondary,male,7430,West Pokot
out_of_school_children,secondary,total,13320,West Pokot
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,total,female,0.363,West Pokot
GBV: Percentage of girls/women who have experienced physical violence since age 15,total,female,0.271,West Pokot
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,total,female,0.075,West Pokot
learner_toilet_ratio_recalculated,preprimary_ece,total,34.380221957336794,Baringo
learner_toilet_ratio_recalculated,primary,total,29.366164003415467,Baringo
learner_toilet_ratio_recalculated,secondary,total,18.37000483132725,Baringo
learner_toilet_ratio_recalculated,preprimary_ece,total,19.65263806463483,Embu
learner_toilet_ratio_recalculated,primary,total,17.405123643018026,Embu
learner_toilet_ratio_recalculated,secondary,total,12.466244084755004,Embu
learner_toilet_ratio_recalculated,preprimary_ece,total,62.17058087035702,Garissa
learner_toilet_ratio_recalculated,primary,total,41.97569342760323,Garissa
learner_toilet_ratio_recalculated,secondary,total,24.205510696841937,Garissa
learner_toilet_ratio_recalculated,preprimary_ece,total,77.02715421851526,Isiolo
learner_toilet_ratio_recalculated,primary,total,30,Isiolo
learner_toilet_ratio_recalculated,secondary,total,18.485987649086017,Isiolo
learner_toilet_ratio_recalculated,preprimary_ece,total,30.061770821932804,Kajiado
learner_toilet_ratio_recalculated,primary,total,40.674190806427674,Kajiado
learner_toilet_ratio_recalculated,secondary,total,22.293295427623782,Kajiado
learner_toilet_ratio_recalculated,preprimary_ece,total,55.86629688155051,Kilifi
learner_toilet_ratio_recalculated,primary,total,44.752661077879715,Kilifi
learner_toilet_ratio_recalculated,secondary,total,31.489839304331618,Kilifi
learner_toilet_ratio_recalculated,preprimary_ece,total,17.894414264595913,Kitui
learner_toilet_ratio_recalculated,primary,total,16.492389759786057,Kitui
learner_toilet_ratio_recalculated,secondary,total,15.89786654507349,Kitui
learner_toilet_ratio_recalculated,preprimary_ece,total,50.99088596519654,Kwale
learner_toilet_ratio_recalculated,primary,total,43.12337597685151,Kwale
learner_toilet_ratio_recalculated,secondary,total,22.896662458116353,Kwale
learner_toilet_ratio_recalculated,preprimary_ece,total,34.935362928661625,Laikipia
learner_toilet_ratio_recalculated,primary,total,23.310729954942513,Laikipia
learner_toilet_ratio_recalculated,secondary,total,15.771101209420753,Laikipia
learner_toilet_ratio_recalculated,preprimary_ece,total,59.891914625170855,Lamu
learner_toilet_ratio_recalculated,primary,total,39.50605471773934,Lamu
learner_toilet_ratio_recalculated,secondary,total,20.261194029850746,Lamu
learner_toilet_ratio_recalculated,preprimary_ece,total,14.957563792507774,Makueni
learner_toilet_ratio_recalculated,primary,total,22.44572356155689,Makueni
learner_toilet_ratio_recalculated,secondary,total,17.353292827448694,Makueni
learner_toilet_ratio_recalculated,preprimary_ece,total,165.7446663922253,Mandera
learner_toilet_ratio_recalculated,primary,total,79.72806154060731,Mandera
learner_toilet_ratio_recalculated,secondary,total,27.579241112771182,Mandera
learner_toilet_ratio_recalculated,preprimary_ece,total,77.49769300426902,Marsabit
learner_toilet_ratio_recalculated,primary,total,40.89346420526023,Marsabit
learner_toilet_ratio_recalculated,secondary,total,20.420921622686095,Marsabit
learner_toilet_ratio_recalculated,preprimary_ece,total,28.332305833604497,Meru
learner_toilet_ratio_recalculated,primary,total,21.84923604537987,Meru
learner_toilet_ratio_recalculated,secondary,total,16.302898281220944,Meru
learner_toilet_ratio_recalculated,preprimary_ece,total,35.34759241524893,Narok
learner_toilet_ratio_recalculated,primary,total,43.30438396304088,Narok
learner_toilet_ratio_recalculated,secondary,total,20.53687995259373,Narok
learner_toilet_ratio_recalculated,preprimary_ece,total,36.810786174461334,National
learner_toilet_ratio_recalculated,primary,total,31.46104299072659,National
learner_toilet_ratio_recalculated,secondary,total,19.79971021374014,National
learner_toilet_ratio_recalculated,preprimary_ece,total,18.420668209287,Nyeri
learner_toilet_ratio_recalculated,primary,total,14.770023779779516,Nyeri
learner_toilet_ratio_recalculated,secondary,total,12.92872664831098,Nyeri
learner_toilet_ratio_recalculated,preprimary_ece,total,79.9312931834588,Samburu
learner_toilet_ratio_recalculated,primary,total,44.67292013082349,Samburu
learner_toilet_ratio_recalculated,secondary,total,19.61356651052921,Samburu
learner_toilet_ratio_recalculated,preprimary_ece,total,24,Taita Taveta
learner_toilet_ratio_recalculated,primary,total,24.702983090204302,Taita Taveta
learner_toilet_ratio_recalculated,secondary,total,22,Taita Taveta
learner_toilet_ratio_recalculated,preprimary_ece,total,93.91505647495724,Tana River
learner_toilet_ratio_recalculated,primary,total,46.28076632035124,Tana River
learner_toilet_ratio_recalculated,secondary,total,22.699773666470303,Tana River
learner_toilet_ratio_recalculated,preprimary_ece,total,14.941116808474671,Tharaka-Nithi
learner_toilet_ratio_recalculated,primary,total,16.96167447935403,Tharaka-Nithi
learner_toilet_ratio_recalculated,secondary,total,15.32588024115049,Tharaka-Nithi
learner_toilet_ratio_recalculated,preprimary_ece,total,181.4976807062876,Turkana
learner_toilet_ratio_recalculated,primary,total,75.37805990113162,Turkana
learner_toilet_ratio_recalculated,secondary,total,34.327208796492826,Turkana
learner_toilet_ratio_recalculated,preprimary_ece,total,124.78322525600706,Wajir
learner_toilet_ratio_recalculated,primary,total,58.01546608388669,Wajir
learner_toilet_ratio_recalculated,secondary,total,37.31794948887553,Wajir
learner_toilet_ratio_recalculated,preprimary_ece,total,55.9245840706162,West Pokot
learner_toilet_ratio_recalculated,primary,total,47.39145977197185,West Pokot
learner_toilet_ratio_recalculated,secondary,total,20.33674473349951,West Pokot
learner_toilet_ratio_recalculated,preprimary_ece,male,57,Kwale
learner_toilet_ratio_recalculated,preprimary_ece,female,46,Kwale
learner_toilet_ratio_recalculated,preprimary_ece,male,59,Kilifi
learner_toilet_ratio_recalculated,preprimary_ece,female,53,Kilifi
learner_toilet_ratio_recalculated,preprimary_ece,male,100,Tana River
learner_toilet_ratio_recalculated,preprimary_ece,female,88,Tana River
learner_toilet_ratio_recalculated,preprimary_ece,male,64,Lamu
learner_toilet_ratio_recalculated,preprimary_ece,female,56,Lamu
learner_toilet_ratio_recalculated,preprimary_ece,male,24,Taita Taveta
learner_toilet_ratio_recalculated,preprimary_ece,female,24,Taita Taveta
learner_toilet_ratio_recalculated,preprimary_ece,male,68,Garissa
learner_toilet_ratio_recalculated,preprimary_ece,female,56,Garissa
learner_toilet_ratio_recalculated,preprimary_ece,male,136,Wajir
learner_toilet_ratio_recalculated,preprimary_ece,female,113,Wajir
learner_toilet_ratio_recalculated,preprimary_ece,male,185,Mandera
learner_toilet_ratio_recalculated,preprimary_ece,female,143,Mandera
learner_toilet_ratio_recalculated,preprimary_ece,male,76,Marsabit
learner_toilet_ratio_recalculated,preprimary_ece,female,79,Marsabit
learner_toilet_ratio_recalculated,preprimary_ece,male,76,Isiolo
learner_toilet_ratio_recalculated,preprimary_ece,female,78,Isiolo
learner_toilet_ratio_recalculated,preprimary_ece,male,31,Meru
learner_toilet_ratio_recalculated,preprimary_ece,female,26,Meru
learner_toilet_ratio_recalculated,preprimary_ece,male,16,Tharaka-Nithi
learner_toilet_ratio_recalculated,preprimary_ece,female,14,Tharaka-Nithi
learner_toilet_ratio_recalculated,preprimary_ece,male,23,Embu
learner_toilet_ratio_recalculated,preprimary_ece,female,17,Embu
learner_toilet_ratio_recalculated,preprimary_ece,male,22,Kitui
learner_toilet_ratio_recalculated,preprimary_ece,female,15,Kitui
learner_toilet_ratio_recalculated,preprimary_ece,male,16,Makueni
learner_toilet_ratio_recalculated,preprimary_ece,female,14,Makueni
learner_toilet_ratio_recalculated,preprimary_ece,male,20,Nyeri
learner_toilet_ratio_recalculated,preprimary_ece,female,17,Nyeri
learner_toilet_ratio_recalculated,preprimary_ece,male,187,Turkana
learner_toilet_ratio_recalculated,preprimary_ece,female,176,Turkana
learner_toilet_ratio_recalculated,preprimary_ece,male,58,West Pokot
learner_toilet_ratio_recalculated,preprimary_ece,female,54,West Pokot
learner_toilet_ratio_recalculated,preprimary_ece,male,85,Samburu
learner_toilet_ratio_recalculated,preprimary_ece,female,75,Samburu
learner_toilet_ratio_recalculated,preprimary_ece,male,37,Baringo
learner_toilet_ratio_recalculated,preprimary_ece,female,32,Baringo
learner_toilet_ratio_recalculated,preprimary_ece,male,37,Laikipia
learner_toilet_ratio_recalculated,preprimary_ece,female,33,Laikipia
learner_toilet_ratio_recalculated,preprimary_ece,male,41,Narok
learner_toilet_ratio_recalculated,preprimary_ece,female,31,Narok
learner_toilet_ratio_recalculated,preprimary_ece,male,35,Kajiado
learner_toilet_ratio_recalculated,preprimary_ece,female,26,Kajiado
learner_toilet_ratio_recalculated,preprimary_ece,male,40,National
learner_toilet_ratio_recalculated,preprimary_ece,female,34,National
learner_toilet_ratio_recalculated,primary,male,48,Kwale
learner_toilet_ratio_recalculated,primary,female,39,Kwale
learner_toilet_ratio_recalculated,primary,male,42,Kilifi
learner_toilet_ratio_recalculated,primary,female,48,Kilifi
learner_toilet_ratio_recalculated,primary,male,50,Tana River
learner_toilet_ratio_recalculated,primary,female,43,Tana River
learner_toilet_ratio_recalculated,primary,male,40,Lamu
learner_toilet_ratio_recalculated,primary,female,39,Lamu
learner_toilet_ratio_recalculated,primary,male,28,Taita Taveta
learner_toilet_ratio_recalculated,primary,female,22,Taita Taveta
learner_toilet_ratio_recalculated,primary,male,49,Garissa
learner_toilet_ratio_recalculated,primary,female,35,Garissa
learner_toilet_ratio_recalculated,primary,male,66,Wajir
learner_toilet_ratio_recalculated,primary,female,50,Wajir
learner_toilet_ratio_recalculated,primary,male,94,Mandera
learner_toilet_ratio_recalculated,primary,female,63,Mandera
learner_toilet_ratio_recalculated,primary,male,43,Marsabit
learner_toilet_ratio_recalculated,primary,female,39,Marsabit
learner_toilet_ratio_recalculated,primary,male,30,Isiolo
learner_toilet_ratio_recalculated,primary,female,30,Isiolo
learner_toilet_ratio_recalculated,primary,male,24,Meru
learner_toilet_ratio_recalculated,primary,female,20,Meru
learner_toilet_ratio_recalculated,primary,male,18,Tharaka-Nithi
learner_toilet_ratio_recalculated,primary,female,16,Tharaka-Nithi
learner_toilet_ratio_recalculated,primary,male,19,Embu
learner_toilet_ratio_recalculated,primary,female,16,Embu
learner_toilet_ratio_recalculated,primary,male,13,Kitui
learner_toilet_ratio_recalculated,primary,female,23,Kitui
learner_toilet_ratio_recalculated,primary,male,24,Makueni
learner_toilet_ratio_recalculated,primary,female,21,Makueni
learner_toilet_ratio_recalculated,primary,male,17,Nyeri
learner_toilet_ratio_recalculated,primary,female,13,Nyeri
learner_toilet_ratio_recalculated,primary,male,88,Turkana
learner_toilet_ratio_recalculated,primary,female,65,Turkana
learner_toilet_ratio_recalculated,primary,male,50,West Pokot
learner_toilet_ratio_recalculated,primary,female,45,West Pokot
learner_toilet_ratio_recalculated,primary,male,50,Samburu
learner_toilet_ratio_recalculated,primary,female,40,Samburu
learner_toilet_ratio_recalculated,primary,male,32,Baringo
learner_toilet_ratio_recalculated,primary,female,27,Baringo
learner_toilet_ratio_recalculated,primary,male,26,Laikipia
learner_toilet_ratio_recalculated,primary,female,21,Laikipia
learner_toilet_ratio_recalculated,primary,male,47,Narok
learner_toilet_ratio_recalculated,primary,female,40,Narok
learner_toilet_ratio_recalculated,primary,male,45,Kajiado
learner_toilet_ratio_recalculated,primary,female,37,Kajiado
learner_toilet_ratio_recalculated,primary,male,33,National
learner_toilet_ratio_recalculated,primary,female,30,National
learner_toilet_ratio_recalculated,secondary,male,27,Kwale
learner_toilet_ratio_recalculated,secondary,female,20,Kwale
learner_toilet_ratio_recalculated,secondary,male,33,Kilifi
learner_toilet_ratio_recalculated,secondary,female,30,Kilifi
learner_toilet_ratio_recalculated,secondary,male,29,Tana River
learner_toilet_ratio_recalculated,secondary,female,18,Tana River
learner_toilet_ratio_recalculated,secondary,male,19,Lamu
learner_toilet_ratio_recalculated,secondary,female,22,Lamu
learner_toilet_ratio_recalculated,secondary,male,22,Taita Taveta
learner_toilet_ratio_recalculated,secondary,female,22,Taita Taveta
learner_toilet_ratio_recalculated,secondary,male,23,Garissa
learner_toilet_ratio_recalculated,secondary,female,26,Garissa
learner_toilet_ratio_recalculated,secondary,male,46,Wajir
learner_toilet_ratio_recalculated,secondary,female,28,Wajir
learner_toilet_ratio_recalculated,secondary,male,30,Mandera
learner_toilet_ratio_recalculated,secondary,female,24,Mandera
learner_toilet_ratio_recalculated,secondary,male,22,Marsabit
learner_toilet_ratio_recalculated,secondary,female,19,Marsabit
learner_toilet_ratio_recalculated,secondary,male,19,Isiolo
learner_toilet_ratio_recalculated,secondary,female,18,Isiolo
learner_toilet_ratio_recalculated,secondary,male,18,Meru
learner_toilet_ratio_recalculated,secondary,female,15,Meru
learner_toilet_ratio_recalculated,secondary,male,17,Tharaka-Nithi
learner_toilet_ratio_recalculated,secondary,female,14,Tharaka-Nithi
learner_toilet_ratio_recalculated,secondary,male,12,Embu
learner_toilet_ratio_recalculated,secondary,female,13,Embu
learner_toilet_ratio_recalculated,secondary,male,17,Kitui
learner_toilet_ratio_recalculated,secondary,female,15,Kitui
learner_toilet_ratio_recalculated,secondary,male,19,Makueni
learner_toilet_ratio_recalculated,secondary,female,16,Makueni
learner_toilet_ratio_recalculated,secondary,male,12,Nyeri
learner_toilet_ratio_recalculated,secondary,female,14,Nyeri
learner_toilet_ratio_recalculated,secondary,male,40,Turkana
learner_toilet_ratio_recalculated,secondary,female,28,Turkana
learner_toilet_ratio_recalculated,secondary,male,23,West Pokot
learner_toilet_ratio_recalculated,secondary,female,18,West Pokot
learner_toilet_ratio_recalculated,secondary,male,21,Samburu
learner_toilet_ratio_recalculated,secondary,female,18,Samburu
learner_toilet_ratio_recalculated,secondary,male,20,Baringo
learner_toilet_ratio_recalculated,secondary,female,17,Baringo
learner_toilet_ratio_recalculated,secondary,male,18,Laikipia
learner_toilet_ratio_recalculated,secondary,female,14,Laikipia
learner_toilet_ratio_recalculated,secondary,male,22,Narok
learner_toilet_ratio_recalculated,secondary,female,19,Narok
learner_toilet_ratio_recalculated,secondary,male,25,Kajiado
learner_toilet_ratio_recalculated,secondary,female,20,Kajiado
learner_toilet_ratio_recalculated,secondary,male,22,National
learner_toilet_ratio_recalculated,secondary,female,18,National
